FlightDate,Airline,Origin,Dest,Cancelled,Diverted,CRSDepTime,DepTime,DepDelayMinutes,DepDelay,ArrTime,ArrDelayMinutes,AirTime,CRSElapsedTime,ActualElapsedTime,Distance,Year,Quarter,Month,DayofMonth,DayOfWeek,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Operating_Airline,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,DestCityName,DestState,DestStateFips,DestStateName,DestWac,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrDelay,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,DistanceGroup,DivAirportLandings
2021-03-03,SkyWest Airlines Inc.,SGU,PHX,False,False,724,714.0,0.0,-10.0,818.0,0.0,49.0,79.0,64.0,262.0,2021,1,3,3,3,AA,AA_CODESHARE,19805,AA,3133,OO,20304,OO,N728SK,3133,14794,1479405,34794,"St. George, UT",UT,49,Utah,87,14107,1410702,30466,"Phoenix, AZ",AZ,4,Arizona,81,0.0,-1.0,0700-0759,10.0,724.0,813.0,5.0,843,-25.0,0.0,-2.0,0800-0859,2,0.0
2021-03-03,SkyWest Airlines Inc.,PHX,SGU,False,False,922,917.0,0.0,-5.0,1031.0,0.0,48.0,78.0,74.0,262.0,2021,1,3,3,3,AA,AA_CODESHARE,19805,AA,3134,OO,20304,OO,N752SK,3134,14107,1410702,30466,"Phoenix, AZ",AZ,4,Arizona,81,14794,1479405,34794,"St. George, UT",UT,49,Utah,87,0.0,-1.0,0900-0959,23.0,940.0,1028.0,3.0,1040,-9.0,0.0,-1.0,1000-1059,2,0.0
2021-03-03,SkyWest Airlines Inc.,MHT,ORD,False,False,1330,1321.0,0.0,-9.0,1501.0,0.0,129.0,180.0,160.0,843.0,2021,1,3,3,3,AA,AA_CODESHARE,19805,AA,3135,OO,20304,OO,N766SK,3135,13296,1329604,30721,"Manchester, NH",NH,33,New Hampshire,14,13930,1393007,30977,"Chicago, IL",IL,17,Illinois,41,0.0,-1.0,1300-1359,15.0,1336.0,1445.0,16.0,1530,-29.0,0.0,-2.0,1500-1559,4,0.0
2021-03-03,SkyWest Airlines Inc.,DFW,TRI,False,False,1645,1636.0,0.0,-9.0,2002.0,0.0,112.0,145.0,146.0,868.0,2021,1,3,3,3,AA,AA_CODESHARE,19805,AA,3136,OO,20304,OO,N752EV,3136,11298,1129806,30194,"Dallas/Fort Worth, TX",TX,48,Texas,74,15323,1532305,35323,"Bristol/Johnson City/Kingsport, TN",TN,47,Tennessee,54,0.0,-1.0,1600-1659,27.0,1703.0,1955.0,7.0,2010,-8.0,0.0,-1.0,2000-2059,4,0.0
2021-03-03,SkyWest Airlines Inc.,PHX,BFL,False,False,1844,1838.0,0.0,-6.0,1903.0,0.0,69.0,101.0,85.0,425.0,2021,1,3,3,3,AA,AA_CODESHARE,19805,AA,3137,OO,20304,OO,N715SK,3137,14107,1410702,30466,"Phoenix, AZ",AZ,4,Arizona,81,10561,1056103,30561,"Bakersfield, CA",CA,6,California,91,0.0,-1.0,1800-1859,13.0,1851.0,1900.0,3.0,1925,-22.0,0.0,-2.0,1900-1959,2,0.0
2021-03-03,SkyWest Airlines Inc.,ORD,BNA,False,False,1650,1648.0,0.0,-2.0,1808.0,0.0,57.0,104.0,80.0,409.0,2021,1,3,3,3,AA,AA_CODESHARE,19805,AA,3139,OO,20304,OO,N744SK,3139,13930,1393007,30977,"Chicago, IL",IL,17,Illinois,41,10693,1069302,30693,"Nashville, TN",TN,47,Tennessee,54,0.0,-1.0,1600-1659,19.0,1707.0,1804.0,4.0,1834,-26.0,0.0,-2.0,1800-1859,2,0.0
2021-03-03,SkyWest Airlines Inc.,PSP,PHX,False,False,1652,1651.0,0.0,-1.0,1929.0,27.0,45.0,70.0,98.0,261.0,2021,1,3,3,3,AA,AA_CODESHARE,19805,AA,3140,OO,20304,OO,N727SK,3140,14262,1426204,34262,"Palm Springs, CA",CA,6,California,91,14107,1410702,30466,"Phoenix, AZ",AZ,4,Arizona,81,0.0,-1.0,1600-1659,48.0,1739.0,1924.0,5.0,1902,27.0,1.0,1.0,1900-1959,2,0.0
2021-03-03,SkyWest Airlines Inc.,DFW,YUM,False,False,1245,1242.0,0.0,-3.0,1452.0,0.0,153.0,191.0,190.0,1022.0,2021,1,3,3,3,AA,AA_CODESHARE,19805,AA,3141,OO,20304,OO,N771SK,3141,11298,1129806,30194,"Dallas/Fort Worth, TX",TX,48,Texas,74,16218,1621802,33785,"Yuma, AZ",AZ,4,Arizona,81,0.0,-1.0,1200-1259,32.0,1314.0,1447.0,5.0,1456,-4.0,0.0,-1.0,1400-1459,5,0.0
2021-03-03,SkyWest Airlines Inc.,LBB,PHX,False,False,726,717.0,0.0,-9.0,821.0,0.0,104.0,130.0,124.0,588.0,2021,1,3,3,3,AA,AA_CODESHARE,19805,AA,3142,OO,20304,OO,N614SK,3142,12896,1289607,32896,"Lubbock, TX",TX,48,Texas,74,14107,1410702,30466,"Phoenix, AZ",AZ,4,Arizona,81,0.0,-1.0,0700-0759,12.0,729.0,813.0,8.0,836,-15.0,0.0,-1.0,0800-0859,3,0.0
2021-03-03,SkyWest Airlines Inc.,DFW,DRO,False,False,2045,2040.0,0.0,-5.0,2144.0,0.0,97.0,150.0,124.0,674.0,2021,1,3,3,3,AA,AA_CODESHARE,19805,AA,3144,OO,20304,OO,N773SK,3144,11298,1129806,30194,"Dallas/Fort Worth, TX",TX,48,Texas,74,11413,1141307,30285,"Durango, CO",CO,8,Colorado,82,0.0,-1.0,2000-2059,25.0,2105.0,2142.0,2.0,2215,-31.0,0.0,-2.0,2200-2259,3,0.0
2021-03-03,SkyWest Airlines Inc.,PHX,FAR,False,False,1030,1032.0,2.0,2.0,1435.0,0.0,147.0,191.0,183.0,1225.0,2021,1,3,3,3,AA,AA_CODESHARE,19805,AA,3145,OO,20304,OO,N762SK,3145,14107,1410702,30466,"Phoenix, AZ",AZ,4,Arizona,81,11637,1163703,31637,"Fargo, ND",ND,38,North Dakota,66,0.0,0.0,1000-1059,32.0,1104.0,1431.0,4.0,1441,-6.0,0.0,-1.0,1400-1459,5,0.0
2021-03-03,SkyWest Airlines Inc.,FWA,ORD,False,False,1506,1456.0,0.0,-10.0,1447.0,0.0,33.0,70.0,51.0,157.0,2021,1,3,3,3,AA,AA_CODESHARE,19805,AA,3146,OO,20304,OO,N730SK,3146,11823,1182304,31823,"Fort Wayne, IN",IN,18,Indiana,42,13930,1393007,30977,"Chicago, IL",IL,17,Illinois,41,0.0,-1.0,1500-1559,8.0,1504.0,1437.0,10.0,1516,-29.0,0.0,-2.0,1500-1559,1,0.0
2021-03-03,SkyWest Airlines Inc.,PHX,ABQ,False,False,1032,1040.0,8.0,8.0,1204.0,8.0,45.0,84.0,84.0,328.0,2021,1,3,3,3,AA,AA_CODESHARE,19805,AA,3147,OO,20304,OO,N741EV,3147,14107,1410702,30466,"Phoenix, AZ",AZ,4,Arizona,81,10140,1014005,30140,"Albuquerque, NM",NM,35,New Mexico,86,0.0,0.0,1000-1059,33.0,1113.0,1158.0,6.0,1156,8.0,0.0,0.0,1100-1159,2,0.0
2021-03-03,SkyWest Airlines Inc.,PSP,PHX,False,False,732,723.0,0.0,-9.0,939.0,0.0,43.0,77.0,76.0,261.0,2021,1,3,3,3,AA,AA_CODESHARE,19805,AA,3148,OO,20304,OO,N716SK,3148,14262,1426204,34262,"Palm Springs, CA",CA,6,California,91,14107,1410702,30466,"Phoenix, AZ",AZ,4,Arizona,81,0.0,-1.0,0700-0759,12.0,735.0,918.0,21.0,949,-10.0,0.0,-1.0,0900-0959,2,0.0
2021-03-03,SkyWest Airlines Inc.,ORD,ASE,False,False,902,853.0,0.0,-9.0,1058.0,0.0,157.0,208.0,185.0,1013.0,2021,1,3,3,3,AA,AA_CODESHARE,19805,AA,3150,OO,20304,OO,N631SK,3150,13930,1393007,30977,"Chicago, IL",IL,17,Illinois,41,10372,1037205,30372,"Aspen, CO",CO,8,Colorado,82,0.0,-1.0,0900-0959,21.0,914.0,1051.0,7.0,1130,-32.0,0.0,-2.0,1100-1159,5,0.0
2021-03-03,SkyWest Airlines Inc.,DRO,PHX,False,False,700,649.0,0.0,-11.0,814.0,0.0,63.0,109.0,85.0,351.0,2021,1,3,3,3,AA,AA_CODESHARE,19805,AA,3153,OO,20304,OO,N772SK,3153,11413,1141307,30285,"Durango, CO",CO,8,Colorado,82,14107,1410702,30466,"Phoenix, AZ",AZ,4,Arizona,81,0.0,-1.0,0700-0759,18.0,707.0,810.0,4.0,849,-35.0,0.0,-2.0,0800-0859,2,0.0
2021-03-03,SkyWest Airlines Inc.,LAX,SFO,False,False,2035,2028.0,0.0,-7.0,2148.0,0.0,57.0,80.0,80.0,337.0,2021,1,3,3,3,AA,AA_CODESHARE,19805,AA,3159,OO,20304,OO,N716SK,3159,12892,1289208,32575,"Los Angeles, CA",CA,6,California,91,14771,1477104,32457,"San Francisco, CA",CA,6,California,91,0.0,-1.0,2000-2059,19.0,2047.0,2144.0,4.0,2155,-7.0,0.0,-1.0,2100-2159,2,0.0
2021-03-03,SkyWest Airlines Inc.,SFO,LAX,False,False,538,530.0,0.0,-8.0,645.0,0.0,60.0,82.0,75.0,337.0,2021,1,3,3,3,AA,AA_CODESHARE,19805,AA,3160,OO,20304,OO,N732SK,3160,14771,1477104,32457,"San Francisco, CA",CA,6,California,91,12892,1289208,32575,"Los Angeles, CA",CA,6,California,91,0.0,-1.0,0001-0559,11.0,541.0,641.0,4.0,700,-15.0,0.0,-1.0,0700-0759,2,0.0
2021-03-03,SkyWest Airlines Inc.,JLN,DFW,False,False,600,550.0,0.0,-10.0,718.0,0.0,56.0,104.0,88.0,327.0,2021,1,3,3,3,AA,AA_CODESHARE,19805,AA,3161,OO,20304,OO,N771SK,3161,12511,1251103,32511,"Joplin, MO",MO,29,Missouri,64,11298,1129806,30194,"Dallas/Fort Worth, TX",TX,48,Texas,74,0.0,-1.0,0600-0659,19.0,609.0,705.0,13.0,744,-26.0,0.0,-2.0,0700-0759,2,0.0
